claim_id,manuscript_section,formal_claim,canonical_evidence,statistical_unit,claim_strength,boundary_limitation
1,"Sec 6.1 / 6.2","Continuously updated recurrent state exhibits temporal memory interference under conflicting dynamics","TGN AP drops from 0.5942 at TB=25 to 0.5028 at TB=200 (0.5274 at TB=100)",10 seeds (42-51),"Strong empirical","Evaluated on canonical TGN with GRU memory; not claimed as universal theorem for all temporal GNNs"
2,"Sec 6.1","Addressable historical memory recovers information lost by continuous recurrent compression","Historical Retrieval achieves 0.7273 AP vs TGN 0.5274 AP at TB=100 (gain +0.1999 AP)",10 seeds (42-51),"Strong empirical","Historical Retrieval is a non-parametric diagnostic probe, not a learned end-to-end architecture"
3,"Sec 6.1","Historical retrieval does not dominate immediate snapshot prediction on hard synthetic data","Current-Only achieves 0.7635 AP vs Historical Retrieval 0.7273 AP at TB=100",10 seeds (42-51),"Strong negative control","Current snapshot provides immediate local connectivity; retrieval recovers lost historical component"
4,"Sec 6.3","Increasing recurrent capacity does not eliminate long-duration degradation in tested range","OLS fit: AP = 0.5337 + 0.0144*log(dm) - 0.00043*TB (R2=0.892) across dm in [16, 256]",200 runs (10 seeds x 5 dims x 4 TB),"Strong empirical","Capacity analysis is bounded to dm in [16, 256]; does not extrapolate to infinite memory"
5,"Sec 6.4","Degradation persists after full optimization convergence","25-epoch training stabilizes loss by epoch 10-12; test AP remains 0.5028 at TB=200",10 seeds (42-51),"Strong verification","Rules out undertraining and premature early stopping as causes"
6,"Sec 6.4","Non-stationary regime transitions disrupt continuous state tracking generally","Current-Only achieves 0.9506 AP while TGN achieves 0.5427 AP on specificity control",10 seeds (42-51),"Strong control insight","Shows transition disruption is broader than pure history-dependent tasks alone"
7,"Sec 6.5","Renewed online exposure exhibits recovery inertia without gradient adaptation","Delta AP < +0.002 across kA in [0, 25] for TB in {50, 100, 200}",10 seeds (42-51),"Strong empirical","Demonstrates recovery inertia; does not claim permanent mathematical destruction of info"
8,"Sec 6.6","Linear decodability of historical community structure declines during distractor regime","Probe accuracy drops from 0.5477 at end of A to 0.5200 at end of B, recovering to 0.5490",5-fold CV over 10 seeds,"Moderate supporting","Linear probe measures linear separability; supporting evidence rather than causal proof"
9,"Sec 6.7","Exact edge memorization accounts for a major fraction of recoverability when pairs repeat","Condition A (Exact, Jaccard=0.2312): EdgeBank achieves 0.8841 AP vs Oracle 0.9107 AP",10 seeds (42-51),"Strong empirical","Validates EdgeBank's strong utility under repeated edge transactions"
10,"Sec 6.7","Structural historical information remains predictive when exact edge repetition is suppressed","Condition B (Structural, Jaccard=0.0268): Retrieval achieves 0.6204 AP vs EdgeBank 0.5847 AP (+0.0357 gain, p<10^-6)",10 seeds (42-51),"Strong empirical","Proves structural historical information remains predictive beyond exact pair memorization"
11,"Sec 6.8","Real-world communication networks exhibit consistent qualitative recurrence dynamics dominated by exact edge recurrence","CollegeMsg: EdgeBank achieves 0.8763 AP; Retrieval achieves 0.7002 AP vs TGN 0.6552 AP",n=4 recurrence episodes,"Qualitative supporting","Limited to n=4 recurrence episodes; statistical unit is episode block, not individual edges"
