claim_id,claim_statement,audit_status,justification,required_refinement
A,"Continuously updated recurrent temporal representations exhibit systematic historical overwriting.",SUPPORTED,"Observed monotonically across all tested distractor durations T_B in {25, 50, 100, 200} and 10 random seeds (AP collapses from 0.655 to 0.505).","Keep claim; specify that this holds under conflicting regime shifts."
B,"Historical information becomes inaccessible after sufficiently long conflicting dynamics.",SUPPORTED,"At T_B >= 100, continuous TGN performance matches chance (AP ~ 0.5028) despite historical oracle achieving AP = 0.7904.","Keep claim; frame in terms of recurrent state representation inaccessibility."
C,"Addressable historical memory restores predictive utility.",SUPPORTED,"Non-parametric snapshot retrieval (AP = 0.7273 - 0.9416) and EdgeBank (AP = 0.7423 - 0.8763) restore predictive capability without neural state corruption.","Keep claim; distinguish exact edge memory from structural snapshot retrieval."
D,"Historical retrieval outperforms continuous recurrent memory.",SUPPORTED,"On hard synthetic benchmark, Historical Retrieval (AP=0.7273) and Oracle (AP=0.7904) substantially exceed Continuous TGN (AP=0.5274, Delta AP = +0.20 to +0.26).","Keep claim; report exact Delta AP."
E,"Historical retrieval outperforms current-only prediction.",PARTIALLY SUPPORTED,"Historical Oracle outperforms Current-Only (AP=0.7904 vs 0.7635, Delta AP = +0.0269). Unweighted non-parametric similarity retrieval achieves AP=0.7273 due to noise blending.","Clarify: Historical information contains incremental signal (proven by Oracle), but simple unweighted retrieval introduces slight noise on hard benchmark."
F,"Structural historical information provides predictive value beyond exact edge memorization.",SUPPORTED,"On hard synthetic benchmark with evolving communities, Historical Oracle (AP=0.7904) significantly outperforms EdgeBank (AP=0.7423, Delta AP = +0.0481).","Keep claim; note that on dense real data (CollegeMsg), exact edge memory is the dominant factor."
G,"The phenomenon generalizes to real-world temporal networks.",PARTIALLY SUPPORTED,"Confirmed across n=4 independent recurrence episodes in SNAP CollegeMsg (Retrieval and EdgeBank consistently outperform continuous TGN).","Refine from universal generalization to 'exhibits qualitative empirical analogues in recurring real-world interaction episodes'."
H,"Exact historical edge recurrence is a primary driver of recoverability in CollegeMsg.",SUPPORTED,"EdgeBank achieves AP=0.8763 on CollegeMsg, outperforming all other baselines and explaining the majority of historical predictability.","Highlight this as an honest empirical finding comparing synthetic vs real dynamics."
I,"Memory capacity does not solve the problem.",SUPPORTED,"2D grid sweep across d_m in [16, 256] demonstrates that scaling recurrent state dimension has minimal effect against distractor decay (beta_1=0.0144 vs beta_2=-0.00043).","Keep claim; restrict scope to tested capacity range d_m in [16, 256]."
J,"TGN suffers from recency bias.",OVERCLAIM,"The term 'recency bias' is ambiguous in temporal learning literature and can imply a deliberate inductive bias rather than state overwriting.","Retire 'recency bias'. Replace with 'temporal memory interference' or 'historical overwriting under conflicting dynamics'."
K,"Temporal GNNs suffer from catastrophic forgetting.",PARTIALLY SUPPORTED,"Forgetting occurs in continuous-time node state representations, but differs from classical task-incremental multi-task catastrophic forgetting.","Frame specifically as continuous-time representation overwriting during conflicting temporal regimes."
L,"The phenomenon is caused by lossy recurrent state compression.",SUPPORTED,"Mechanistic diagnostic interventions (oracle memory injection, memory reset alpha=0, capacity scaling) prove that bounded recurrent states cannot retain orthogonal regime representations.","Keep claim; distinguish bounded recurrent compression from addressable indexing."
