attack_name,reviewer_concern,evidence_in_manuscript,manuscript_response,remaining_limitation,exact_wording_to_use
"This is just EdgeBank.",Why use a neural model if EdgeBank achieves higher AP on real datasets?,table_f_exact_vs_structural.csv & Condition B,EdgeBank memorizes exact node pairs (u v) and collapses when edge overlap is low (AP 0.5774 in Condition B); our paper explicitly decomposes exact vs structural recurrence to show where structural models matter.,EdgeBank remains superior when exact pairwise edges repeat.,Exact-edge memorization explains much of the signal when node pairs repeat; structural recurrence isolates historical predictive organization beyond exact pair overlap.
"This is just catastrophic forgetting.",Isn't this identical to standard continual graph learning?,Section 2.4 & Problem Formulation,Continual graph learning studies sequential tasks/classes with changing objectives; our setting keeps the link prediction task fixed while interaction regimes switch and recur in a continuous event stream.,Conceptually related but experimentally and mathematically distinct.,Although related to catastrophic forgetting our setting differs because the prediction task remains fixed while the temporal interaction regime recurs.
"This is just long-term dependency modeling.",Isn't this the same as long-range temporal attention (e.g. DyGFormer)?,fig2_tb_response_curve.pdf & Section 2.2,Long-range attention models historical interactions within a single continuous regime; our protocol isolates the specific interference caused by intervening conflicting dynamics (A->B->A).,Transformers scale context length at quadratic compute/memory cost.,Our controlled protocol isolates the behavior of finite recurrent-state compression; long-history sequence models represent complementary mechanisms for historical access.
"CRAFT shows memory is unnecessary.",CRAFT (NeurIPS 2025) proves memory-free models beat memory-based models so why study memory?,Section 2.2 & Related Work,CRAFT asks whether explicit memory is necessary for forward forecasting on standard benchmarks; our paper asks what historically predictive information remains recoverable in recurrent memory after conflicting regimes.,Our work is diagnostic of recurrent representation behavior rather than a claim of memory necessity.,Our study is diagnostic of historical representation accessibility rather than a claim that recurrent memory is universally required.
"Why not a Transformer over entire history?",Why use episodic checkpoints instead of full-history self-attention?,table_d_memory_budget.csv & table_e_memory_parameter_comparison.csv,Full-history attention requires storing and processing unbounded historical edge sequences (quadratic complexity); MA-TGN bounds memory to K=10 checkpoints (827.5 KB) with sub-5 us latency.,Full-history attention may capture uncompressed history if compute is unbounded.,Addressable episodic memory provides a sublinear bounded alternative to full-history sequence attention.
"Retrieval module is just another external memory.",Memory-augmented networks already exist in NLP and static graphs so what is new?,Section 4 & Methods,We do not claim episodic memory itself is novel; our contribution is using addressable episodic memory as a diagnostic intervention to characterize historical recoverability in dynamic graphs.,External memory mechanisms require checkpoint scheduling and query routing.,We introduce addressable episodic memory as an architectural intervention to test whether historical information remains externally recoverable when overwritten in recurrent states.
"Four recurrence episodes are too few.",Can you claim real-world generalization from n=4 episodes per dataset?,table_h_collegemsg_episodes.csv & table_i_bitcoin_otc_episodes.csv & Limitations,We explicitly treat n=4 natural episodes as qualitative supporting analogues and avoid overstating inferential population claims.,Limited statistical sample size on real-world datasets.,Across the four evaluated recurrence episodes in CollegeMsg and Bitcoin-OTC MA-TGN consistently outperforms Continuous TGN providing supportive qualitative evidence.
"Synthetic benchmark is artificial.",The discrete Dynamic SBM benchmark is idealized and does not reflect complex real-world graphs.,Section 3 & Limitations,The synthetic benchmark deliberately isolates distractor duration TB and community persistence to provide controlled causal measurements impossible in noisy observational data.,Real graphs have overlapping continuous multi-scale transitions.,The controlled synthetic benchmark isolates the causal relationship between distractor duration and historical recoverability under clean structural invariants.
"TGN underperforms due to implementation.",Did you tune TGN properly or is it crippled?,table_a_baseline_reproduction.csv & tests/test_tgn_parity.py,Continuous TGN was evaluated across 10 random seeds using standard Adam optimizer (lr=0.005) matching canonical literature baselines within 0.005 AP tolerance.,Neural message passing on unfeatured graphs must learn structural invariants from scratch.,Unfeatured neural models converge to ~0.652 AP while heuristic common-neighbor probes achieve ~0.760 AP by directly computing topological intersection counts.
"Oracle is an upper bound.",Is the historical oracle a formal mathematical upper bound?,Section 5.3 & Results,The Historical Oracle is a diagnostic reference accessing the ground-truth historical summary graph rather than a formal theoretical ceiling.,A hypothetical omniscient predictor could combine current and historical graphs.,The Historical Oracle serves as an empirical structural reference rather than a formal mathematical upper bound.
