paper,year,venue,task,continuous_time,dynamic_link_prediction,recurrent_memory,external_memory,episodic_memory,exact_recurrence,structural_recurrence,periodicity,continual_learning,catastrophic_forgetting,long_history,memory_free,historical_retrieval,controlled_distractor_duration,memory_capacity_sweep,recurrence_after_conflict,main_overlap,critical_difference,implication_for_our_paper
TGN (Rossi et al.),2020,ICLRW,Dynamic Link Prediction,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Continuous recurrent node memory for streaming graph events,Assumes smooth continuous drift; no mechanism for episodic retrieval after conflicting regimes,Serves as canonical recurrent baseline exhibiting duration-dependent degradation
DyRep (Trivedi et al.),2019,ICLR,Dynamic Link Prediction & Time,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Two-time-scale recurrent process for structural and communication dynamics,Encodes temporal events into continuously updated state vectors without historical isolation,Subject to identical continuous state overwriting during intervening regimes
TGAT (Xu et al.),2020,ICLR,Dynamic Node Classification & Link Prediction,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,Self-attention over temporal neighborhoods with harmonic time embeddings,Memory-free spatial aggregation over fixed temporal windows without persistent node states,Demonstrates memory-free temporal neighborhood encoding
JODIE (Kumar et al.),2019,KDD,User-Item Interaction Prediction,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Coupled RNNs predicting future embedding trajectories,Recurrent trajectory projection lacks addressable storage for dormant regimes,Validates general recurrence failure in coupled sequential states
EdgeBank (Poursafaei et al.),2022,NeurIPS,Dynamic Link Prediction Benchmark,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,Explicit historical memory table for exact edge re-occurrence,Memorizes exact node pairs without structural/community representation learning,Essential baseline; dominates exact recurrence but collapses under structural recurrence
DyGFormer (Yu et al.),2023,ICLR,Dynamic Link Prediction,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,Transformer over truncated temporal interaction sequences,Long-sequence attention without recurrent compression; bounded by context length,Illustrates alternative sequence-based historical context scaling
CRAFT (Sankar et al.),2025,NeurIPS,Future Link Prediction,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,Link prediction without memory or neighborhood aggregation,Focuses on whether recurrent memory is necessary for forward forecasting on standard benchmarks,Distinguishes our diagnostic study of historical recoverability from claims of memory necessity
Continual Graph Learning Surveys (Zhang et al.),2024,TKDE,Sequential Graph Tasks,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,Catastrophic forgetting across discrete sequential tasks,Task-incremental setup with changing label sets rather than in-stream temporal recurrence,Clarifies conceptual difference between task-continual learning and dynamic graph recurrence
EWC / Stability-Plasticity (Kirkpatrick et al.),2017,PNAS,Task Continual Learning,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,Weight consolidation for parameter retention across distinct tasks,Parameter-space regularization for static networks vs representation-space episodic storage for streaming graphs,Establishes stability-plasticity trade-off in recurrent neural states
Periodic TGNNs (Gravina et al.),2023,TNNLS,Dynamic Link Prediction,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Harmonic / Fourier frequency modeling for seasonal network rhythms,Assumes smooth periodic frequency spectrum rather than sharp conflicting regime intervals,Differentiates deterministic periodicity from discrete regime recurrence
Memory-Augmented Graph Networks (Kou et al.),2020,NeurIPS,Graph Experience Replay,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,Experience replay buffers for static graph continual learning,Stores discrete static subgraphs rather than dynamic streaming node-memory checkpoint matrices,Provides architectural inspiration for episodic checkpoint buffers in continuous graphs
2026 Temporal Memory Evolution (Current Work),2026,Preprint/In-submission,Dynamic Graph Representation,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,Parameterized A->B->A recurrence isolating historical recoverability vs distractor duration TB and capacity dm,First controlled characterization of temporal memory interference separating exact vs structural recurrence,Defines the exact contributions and boundaries of this paper
