paper,year,venue,task,dataset_type,temporal_graph_setting,recurring_interactions,historical_memory,recurrent_memory,explicit_retrieval,exact_edge_memory,replay,catastrophic_forgetting,long_term_dependency,regime_recurrence,controlled_synthetic_benchmark,real_world_validation,main_claim,closest_relation_to_our_work,potential_overlap,key_difference,citation
"Towards Better Evaluation for Dynamic Link Prediction (EdgeBank)",2022,NeurIPS Datasets & Benchmarks,Dynamic Link Prediction,Real Interaction Networks,Continuous-time / Discrete snapshots,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Memorization baseline (EdgeBank) matches or outperforms complex temporal GNNs due to high edge repetition and easy negative sampling.",Direct comparison baseline for exact edge memory.,Memorization of past interacting pairs as prediction signal.,"EdgeBank only performs exact edge lookup; does not model evolving community structure, does not study conflicting distractor durations (T_B), and does not evaluate historical regime retrieval.","Poursafaei et al., NeurIPS 2022"
"Future Link Prediction Without Memory or Aggregation (CRAFT)",2025,NeurIPS,Dynamic Link Prediction,Real Interaction Networks,Continuous-time event stream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Temporal link prediction can achieve state-of-the-art without recurrent memory or neighborhood aggregation via cross-attention.",Challenges necessity of online recurrent memory.,"Argues online recurrent memory is fragile and costly.",CRAFT evaluates general future link prediction on static/drift datasets; does not investigate historical recoverability under recurring regimes (A->B->A).,"Yi et al., NeurIPS 2025 / arXiv:2505.19408"
"Temporal Graph Networks for Deep Learning on Dynamic Graphs (TGN)",2020,ICML Workshop / arXiv,Dynamic Link Prediction & Node Classification,Real Interaction Networks,Continuous-time event stream,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Continuous-time GNN combining per-node recurrent memory state updated by events with temporal graph attention.",Primary architecture under study for recurrent degradation.,Canonical continuous-time memory model.,TGN assumes stationary or smoothly drifting graphs; we show TGN recurrent states undergo destructive overwriting during conflicting distractor regimes.,"Rossi et al., arXiv:2006.10637, 2020"
"Inductive Representation Learning on Temporal Graphs (TGAT)",2020,ICLR,Dynamic Link Prediction & Node Classification,Real Interaction Networks,Continuous-time event stream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Self-attention over temporal neighborhoods using continuous time encoding without persistent node memory.",Memory-free baseline with temporal attention.,Uses time-aware attention over recent neighbors.,TGAT only samples local recent temporal neighbors; cannot retrieve historical regimes beyond temporal truncation window.,"Xu et al., ICLR 2020"
"Predicting Dynamic Embedding Trajectory in Temporal Interaction Networks (JODIE)",2019,KDD,Dynamic Link Prediction & Trajectory,Bipartite Interaction Streams,Continuous-time event stream,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Coupled RNN updates user and item embeddings on interaction and projects trajectory into future.",Recurrent state updates in continuous time.,Autoregressive state compression via RNNs.,JODIE's recurrent projection is vulnerable to state overwriting under non-stationary distractor intervals.,"Kumar et al., KDD 2019"
"Learning Representations over Dynamic Graphs (DyRep)",2019,ICLR,Dynamic Link Prediction,Interaction & Association Networks,Continuous-time point process,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deep temporal point process interleaves communication and association events with RNN state updates.",Recurrent state formulation for dynamic graphs.,Event-driven continuous state updates.,Does not study regime recurrence or measure recoverability as a function of distractor duration.,"Trivedi et al., ICLR 2019"
"Inductive Representation Learning on Temporal Graphs through Temporal Walks (CAW)",2021,ICLR,Dynamic Link Prediction,Real Interaction Networks,Continuous-time event stream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Causal anonymous walks capture network motifs and structural temporal patterns without persistent memory.",Alternative memory-free structural representation.,Captures higher-order motif dynamics.,CAW relies on causal temporal walk sampling bounded to recent history; does not retrieve disconnected past historical regimes.,"Wang et al., ICLR 2021"
"Overcoming Catastrophic Forgetting in Graph Continual Learning (ER-GNN)",2021,IEEE TKDE,Continual Node Classification,Streaming Graph Snapshots,Discrete snapshots,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Experience replay buffer of representative nodes mitigates catastrophic forgetting across sequential graph tasks.",Continual learning and historical knowledge retention.,Use of episodic memory buffers to combat forgetting.,ER-GNN evaluates task-incremental node classification across disjoint tasks; does not evaluate continuous-time link prediction or parameterize distractor duration (T_B).,"Zhou et al., IEEE TKDE 2021"
"Continual Graph Learning with Temporal Distribution Shift",2023,KDD,Continual Link Prediction,Dynamic Traffic & Social Graphs,Discrete snapshots,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Decouples invariant structural trends from time-varying distribution shifts to maintain performance on evolving graphs.",Studies distribution shifts over dynamic graphs.,Knowledge retention across temporal shifts.,Focuses on monotonic evolution and domain shift; does not isolate controlled recurring regimes (A->B->A) or addressable snapshot retrieval.,"Zhang et al., KDD 2023"
"GraphMixer: Simplified Architecture for Temporal Graph Representation Learning",2023,ICLR,Dynamic Link Prediction,Real Interaction Networks,Continuous-time event stream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Simple MLP-based mixer over temporal links outperforms complex GNN and memory architectures.",Memory-free baseline demonstrating simplicity of link prediction.,Fixed receptive field temporal aggregation.,Fixed temporal window aggregation forgets past regimes once they fall outside the mixer context.,"Cong et al., ICLR 2023"
