claim,source,evidence,literature_overlap,supported,required_qualification,final_wording
Continuous recurrent representations exhibit duration-dependent degradation under conflicting distractor regimes.,table_a_baseline_reproduction.csv & table_b_canonical_sweep.csv,Random retrieval degrades from 0.7423 to 0.7193 across TB 25 to 200; neural models show duration sensitivity,TGN (Rossi 2020) & DyRep (Trivedi 2019),GREEN,State as duration-dependent degradation under the evaluated A->B->A protocol,"Continuous recurrent representations exhibit duration-dependent degradation in historical recoverability under the evaluated recurrence protocol."
Increasing recurrent memory capacity (dm) does not eliminate duration-dependent interference.,fig3_capacity_scaling.pdf & Table E,Expanding dm=64 to 256 increases parameters by 412% with <0.008 AP gain,Memory capacity scaling in RNNs/GRUs,GREEN,Emphasize that capacity scaling alone does not resolve sequential overwriting,"Expanding recurrent state capacity from dm=64 to 256 did not fully eliminate duration-dependent degradation under the tested settings."
Structural recurrence contains predictive information beyond exact edge repetition.,table_f_exact_vs_structural.csv,Condition B (structural recurrence) yields +0.0351 AP advantage over EdgeBank,EdgeBank (Poursafaei 2022),GREEN,Distinguish exact pairwise repetition from structural community invariants,"Structural recurrence reveals historically predictive community organization that persists even when exact edge overlap is suppressed."
MA-TGN restores evaluated link prediction at recurrence onset (kA=0).,table_g_reexposure_dynamics.csv,Recovers baseline AP at the very first recurrence snapshot before new regime edges arrive,Re-exposure dynamics & zero-shot adaptation,GREEN,Scope strictly to the evaluated synthetic evaluation protocol,"Under the tested recurrence protocol, MA-TGN restores evaluated predictive performance at recurrence onset (kA=0) without requiring additional re-adaptation steps."
MA-TGN improves over Continuous TGN across evaluated real-world recurrence episodes.,table_h_collegemsg_episodes.csv & table_i_bitcoin_otc_episodes.csv,Delivers Delta_AP = +0.0583 on CollegeMsg and +0.1243 on Bitcoin-OTC across 4 episodes each,Dynamic link prediction on SNAP benchmarks,GREEN,Acknowledge small sample size (n=4 episodes per dataset),"MA-TGN consistently outperforms Continuous TGN across the four evaluated recurrence episodes in SNAP CollegeMsg and SNAP Bitcoin-OTC."
EdgeBank is superior when exact pairwise edge repetition dominates.,table_h_collegemsg_episodes.csv & table_i_bitcoin_otc_episodes.csv,EdgeBank achieves 0.8763 on CollegeMsg and 0.7753 on Bitcoin-OTC outperforming all neural models,EdgeBank (Poursafaei 2022),GREEN,Explicitly report this boundary rather than treating it as a failure,"Exact-edge memorization (EdgeBank) remains substantially stronger on real-world datasets dominated by repeated pairwise interactions."
Addressable episodic memory carries the dominant historical retention signal in ablation.,table_c_component_ablation.csv,Model E (w/o recurrent GRU) achieves 0.6515 matching Full MA-TGN 0.6519 within 0.0004 AP,Component ablation (Models A-G),YELLOW,Do not claim recurrent memory is universally unnecessary in all dynamic graphs,"Ablation results suggest that addressable episodic memory carries the dominant historical-retention signal under the tested configuration."
Learned attention is universally necessary over heuristic memory addressing.,table_addressing_ablation.csv,Cosine key retrieval (0.6519) matches learned attention (0.6518),Memory addressing mechanisms,RED,UNSUPPORTED: learned attention matches cosine key retrieval on static community benchmarks,"Learned attention provides dynamic routing during regime transitions, while deterministic cosine key similarity achieves comparable link prediction accuracy on static community structures."
Recurrent dynamic graph networks mathematically contract historical state space.,Empirical benchmark results,Empirical loss of decodability on finite benchmark runs,Theoretical dynamical systems contraction,RED,UNSUPPORTED: mathematical proof not established empirically,"We observe empirical temporal memory interference in recurrent node representations under conflicting distractor regimes."
MA-TGN completely eliminates catastrophic forgetting across all temporal graph dynamics.,Empirical benchmark results,Empirical link prediction evaluations on synthetic DSBM and 2 SNAP datasets,Universal continual learning claims,RED,UNSUPPORTED: universal claim beyond empirical scope,"Addressable episodic memory empirically mitigates temporal memory interference across the evaluated recurrence protocols."
