claim,section,supporting_artifact,result,statistical_unit,strength,safe_wording,overclaim_risk
"Continuous recurrent state exhibits temporal memory interference under conflicting dynamics",Section 4.1 / 4.2,results/phase4_5/processed/final_summary.csv,"TGN AP drops from 0.5942 at T_B=25 to 0.5028 at T_B=200; AP=0.5274 at T_B=100",10 seeds (42-51),Strong,"Under controlled A->B->A recurring dynamics, continuously updated recurrent representations exhibit substantial historical interference after sufficiently long conflicting regimes.",Low (strictly empirical)
"Addressable historical memory recovers information lost by continuous recurrent state",Section 4.1,results/phase4_5/processed/final_summary.csv,"Historical Retrieval AP=0.7273 vs TGN AP=0.5274 at T_B=100 (gain +0.1999 AP)",10 seeds (42-51),Strong,"Addressable historical memory recovers predictive information that continuous recurrent state fails to retain.",Low (framed as non-parametric probe)
"Historical retrieval does not dominate immediate snapshot prediction on hard synthetic data",Section 4.1,results/phase4_5/processed/final_summary.csv,"Current-Only AP=0.7635 vs Historical Retrieval AP=0.7273 at T_B=100",10 seeds (42-51),Strong,"Addressable historical retrieval recovers signal lost by TGN, but does not outperform the current graph snapshot on the hard synthetic benchmark.",Low (honest negative control)
"Recurrent capacity expansion does not substantially eliminate long-duration degradation",Section 4.3,results/phase2/processed/capacity_scaling.csv,"OLS fit: AP = 0.5337 + 0.0144*log(d_m) - 0.00043*T_B (R2=0.892)",200 runs (10 seeds x 5 dims x 4 T_B),Strong,"Within the tested state-capacity range (16-256), increasing recurrent memory dimension does not substantially eliminate long-duration degradation.",Low (bounded to tested range)
"Degradation is not caused by premature early stopping or undertraining",Section 4.4,results/phase6_5/processed/training_convergence.csv,"Training loss stabilizes by epoch 10-12; test AP at epoch 25 remains 0.5028 at T_B=200",10 seeds (42-51),Strong,"The observed degradation persists after extended 25-epoch training and is not explained by premature early stopping.",Low (convergence verified)
"Regime transitions disrupt continuous state tracking even when snapshot is highly predictive",Section 4.4,results/phase6_5/processed/specificity_control.csv,"Current-Only AP=0.9506, Oracle AP=0.9556, TGN AP=0.5427 on specificity control",10 seeds (42-51),Strong,"The specificity control shows that regime transitions disrupt continuous recurrent representations broadly, rather than degradation requiring current-only prediction to be intrinsically difficult.",Low (accurate interpretation)
"Fresh online exposure produces limited immediate recovery without gradient adaptation",Section 4.5,results/phase6_5/processed/reexposure_recovery.csv,"Delta AP < +0.002 across k_A in [0, 25] for T_B in {50, 100, 200}",10 seeds (42-51),Strong,"Historical re-exposure during online rollout produces limited immediate reconstruction of the previously relevant state.",Low (phrased as recovery inertia)
"Linear decodability of historical community structure declines during distractor regime",Section 4.6,results/phase6_5/processed/memory_probe.csv,"Probe accuracy: End A (0.5477) -> End B (0.5200) -> Recurrent A (0.5490)",5-fold CV over 10 seeds,Moderate,"Historical community structure becomes less linearly decodable from recurrent memory during the conflicting regime and begins re-emerging after renewed A exposure.",Low (supporting, not causal proof)
"Exact edge repetition explains substantial recoverability when pairs repeat",Section 4.7,results/phase6_5/processed/recurrence_decomposition.csv,"Condition A (Exact): EdgeBank AP=0.8841 vs Oracle AP=0.9107 (Jaccard=0.2312)",10 seeds (42-51),Strong,"Exact edge memorization accounts for a major fraction of historical recoverability when specific edge pairs recur.",Low (validated by EdgeBank)
"Structural historical information remains predictive when exact edge repetition is suppressed",Section 4.7,results/phase6_5/processed/recurrence_decomposition.csv,"Condition B (Structural): Retrieval AP=0.6204 vs EdgeBank AP=0.5847 (gain +0.0357 AP, p<10^-6, Jaccard=0.0268)",10 seeds (42-51),Strong,"When exact pair recurrence is suppressed but latent community structure recurs, structural historical retrieval retains predictive signal over exact edge memorization.",Low (rigorous uncoupling)
"Real-world communication networks exhibit consistent qualitative recurrence dynamics dominated by exact edge recurrence",Section 4.8,results/phase3/processed/collegemsg_episodes.csv,"CollegeMsg: EdgeBank AP=0.8763, Current AP=0.7002, Retrieval AP=0.7002, TGN AP=0.6552",n=4 recurrence episodes,Moderate,"SNAP CollegeMsg provides qualitative supporting evidence across n=4 recurrence episodes, where exact interaction recurrence dominates.",Low (explicitly n=4 episodes)
