claim,status,evidence,scope,required_wording_change
CLAIM 1: Continuous recurrent representations exhibit severe forgetting under conflicting temporal distractor regimes.,SUPPORTED,table_a_baseline_reproduction.csv & table_b_canonical_sweep.csv,Continuous node memories overwritten during distractor B,Use 'exhibit reduced access to historical predictive information under conflicting distractor regimes'
CLAIM 2: Performance degrades as T_B increases.,SUPPORTED,table_a_baseline_reproduction.csv & table_b_canonical_sweep.csv,Random retrieval degrades from 0.7423 to 0.7193 across TB 25 to 200,Accurately describe duration-dependent recoverability
CLAIM 3: Increasing recurrent memory capacity does not fully eliminate duration-dependent degradation.,SUPPORTED,table_e_memory_parameter_comparison.csv & Phase 4.5 sweep,Quadrupling memory dimension (dm=64 to 256) yields negligible gain (<0.008 AP) at 412% parameter overhead,Emphasize that capacity scaling alone does not resolve temporal interference
CLAIM 4: Addressable episodic memory recovers historical information.,SUPPORTED,table_c_component_ablation.csv & table_h_collegemsg_episodes.csv,Episodic buffers retain dormant representations across multi-week distractors,State as empirical mitigation of temporal interference
CLAIM 5: MA-TGN recovers at k_A=0.,SUPPORTED,table_g_reexposure_dynamics.csv,Restores evaluated link prediction AP at first recurrence snapshot before new regime edges arrive,Use 'restores evaluated performance at recurrence onset (k_A=0) under the tested protocol'
CLAIM 6: Addressable episodic memory is the primary retention mechanism.,SUPPORTED,table_c_component_ablation.csv,Model E (w/o recurrent GRU) achieves 0.6515 matching Full MA-TGN 0.6519 within 0.0004 AP,State that addressable episodic memory carries the primary historical signal
CLAIM 7: Learned attention is necessary.,NOT_SUPPORTED,table_addressing_ablation.csv,Cosine similarity retrieval achieves 0.65193 comparable to learned attention 0.65186,Acknowledge that cosine key similarity performs comparably under static community structures
CLAIM 8: MA-TGN beats EdgeBank.,NOT_SUPPORTED,table_h_collegemsg_episodes.csv & table_i_bitcoin_otc_episodes.csv,EdgeBank achieves 0.8763 on CollegeMsg and 0.7753 on Bitcoin-OTC outperforming all neural models,Explicitly state that EdgeBank dominates under exact edge recurrence
CLAIM 9: MA-TGN generalizes to Bitcoin-OTC.,SUPPORTED_WITH_SCOPE,table_i_bitcoin_otc_episodes.csv,MA-TGN achieves 0.6913 vs 0.5670 for Continuous TGN across 4 episodes (Delta=+0.1243),Use 'improves over Continuous TGN across the four evaluated Bitcoin-OTC recurrence episodes'
CLAIM 10: MA-TGN is better than Historical Retrieval.,PARTIALLY_SUPPORTED,table_h_collegemsg_episodes.csv & table_i_bitcoin_otc_episodes.csv,Outperforms on Bitcoin-OTC (0.6913 vs 0.6728); comparable on CollegeMsg (0.7135 vs 0.7002); heuristic probes lead in synthetic,Report separate per-domain comparisons honestly without sweeping superiority claims
CLAIM 11: Structural recurrence contains predictive historical information beyond exact edge repetition.,SUPPORTED,table_f_exact_vs_structural.csv,Condition B (structural recurrence) yields +0.0351 AP advantage over EdgeBank,Highlight the distinction between exact edge recurrence and structural community recurrence
CLAIM 12: MA-TGN eliminates forgetting.,NOT_SUPPORTED,Canonical empirical results,Absolute elimination cannot be claimed from finite benchmark evaluations,Replace with 'empirically mitigates temporal memory interference under the evaluated recurrence protocols'
CLAIM 13: Recurrent networks mathematically contract historical information.,NOT_SUPPORTED,Empirical benchmark suite,Theoretical contraction bounds require formal mathematical proof not established empirically,Exclude unproven contraction claims; frame purely as empirical observation
CLAIM 14: First systematic characterization.,SUPPORTED_WITH_QUALIFICATION,Comprehensive literature review & benchmark audit,No prior work formalizes parameterized A->B->A recurrence with conflicting distractors,Use 'To our knowledge the first systematic characterization of parameterized recurrence in temporal graphs'
